risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),Honduras,2011,22.6,,,DHS
Malnutrition (wght-for-age z<-2),Haiti,1994,36.7,,,DHS
Malnutrition (wght-for-age z<-2),Haiti,2000,28.7,,,DHS
Malnutrition (wght-for-age z<-2),Haiti,2006,29.4,,,DHS
Malnutrition (wght-for-age z<-2),Haiti,2012,21.9,,,DHS
Malnutrition (wght-for-age z<-2),Haiti,2016,21.9,,,DHS
Malnutrition (wght-for-age z<-2),India,1999,51.5,,,DHS
Malnutrition (wght-for-age z<-2),India,2006,48.0,,,DHS
Malnutrition (wght-for-age z<-2),India,2015,38.4,,,DHS
Malnutrition (wght-for-age z<-2),India,2020,35.5,,,DHS
Malnutrition (wght-for-age z<-2),Jordan,1997,11.0,,,DHS
Malnutrition (wght-for-age z<-2),Jordan,2002,11.5,,,DHS
Malnutrition (wght-for-age z<-2),Jordan,2009,8.0,,,DHS
Malnutrition (wght-for-age z<-2),Jordan,2012,7.7,,,DHS
Malnutrition (wght-for-age z<-2),Jordan,2023,8.3,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,1993,39.9,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,1998,37.7,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,2003,35.7,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,2008,35.3,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,2014,26.0,,,DHS
Malnutrition (wght-for-age z<-2),Kenya,2022,17.6,,,DHS
Malnutrition (wght-for-age z<-2),Cambodia,2000,49.8,,,DHS
Malnutrition (wght-for-age z<-2),Cambodia,2005,42.7,,,DHS
Malnutrition (wght-for-age z<-2),Cambodia,2010,39.9,,,DHS
Malnutrition (wght-for-age z<-2),Cambodia,2014,32.4,,,DHS
Malnutrition (wght-for-age z<-2),Cambodia,2021,21.9,,,DHS
Malnutrition (wght-for-age z<-2),Kazakhstan,1995,18.6,,,DHS
Malnutrition (wght-for-age z<-2),Kazakhstan,1999,12.8,,,DHS
Malnutrition (wght-for-age z<-2),Comoros,1996,38.1,,,DHS
Malnutrition (wght-for-age z<-2),Comoros,2012,30.1,,,DHS
Malnutrition (wght-for-age z<-2),Kyrgyz Republic,1997,32.4,,,DHS
Malnutrition (wght-for-age z<-2),Kyrgyz Republic,2012,17.7,,,DHS
Malnutrition (wght-for-age z<-2),Liberia,2007,39.4,,,DHS
Malnutrition (wght-for-age z<-2),Liberia,2013,31.6,,,DHS
Malnutrition (wght-for-age z<-2),Liberia,2019,29.8,,,DHS
Malnutrition (wght-for-age z<-2),Lesotho,2009,39.2,,,DHS
Malnutrition (wght-for-age z<-2),Lesotho,2014,33.2,,,DHS
Malnutrition (wght-for-age z<-2),Lesotho,2023,35.6,,,DHS
Malnutrition (wght-for-age z<-2),Morocco,1992,29.9,,,DHS
Malnutrition (wght-for-age z<-2),Morocco,2003,22.4,,,DHS
Malnutrition (wght-for-age z<-2),Moldova,2005,10.2,,,DHS
Malnutrition (wght-for-age z<-2),Madagascar,1992,60.4,,,DHS
Malnutrition (wght-for-age z<-2),Madagascar,1997,55.0,,,DHS
Malnutrition (wght-for-age z<-2),Madagascar,2004,53.2,,,DHS
Malnutrition (wght-for-age z<-2),Madagascar,2008,50.1,,,DHS
Malnutrition (wght-for-age z<-2),Madagascar,2021,39.8,,,DHS
Malnutrition (wght-for-age z<-2),Mali,1996,36.0,,,DHS
Malnutrition (wght-for-age z<-2),Mali,2001,42.4,,,DHS
Malnutrition (wght-for-age z<-2),Mali,2006,37.7,,,DHS
Malnutrition (wght-for-age z<-2),Mali,2012,38.3,,,DHS
