risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),USA,2006,0.6,,,WHO
Malnutrition (wght-for-age z<-2),LVA,2014,4.8,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2013,0.0,,,WHO
Malnutrition (wght-for-age z<-2),IRN,2009,10.4,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2002,24.6,,,WHO
Malnutrition (wght-for-age z<-2),STP,2014,30.7,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2005,0.0,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2001,2.3,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2018,45.2,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2009,0.0,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2007,8.8,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2014,20.2,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2010,0.1,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2008,0.2,,,WHO
Malnutrition (wght-for-age z<-2),BHS,2005,19.9,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2019,48.8,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2012,0.1,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2012,54.0,,,WHO
Malnutrition (wght-for-age z<-2),SEN,2012,5.3,,,WHO
Malnutrition (wght-for-age z<-2),AFR,2006,66.1,,,WHO
Malnutrition (wght-for-age z<-2),GTM,2002,0.6,,,WHO
Malnutrition (wght-for-age z<-2),KHM,2013,28.2,,,WHO
Malnutrition (wght-for-age z<-2),MLT,2009,0.1,,,WHO
Malnutrition (wght-for-age z<-2),KOR,2004,0.1,,,WHO
Malnutrition (wght-for-age z<-2),ESP,2008,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SYR,2003,31.8,,,WHO
Malnutrition (wght-for-age z<-2),LKA,2002,10.0,,,WHO
Malnutrition (wght-for-age z<-2),MEX,2000,30.7,,,WHO
Malnutrition (wght-for-age z<-2),KAZ,2007,0.9,,,WHO
Malnutrition (wght-for-age z<-2),IND,2008,25.9,,,WHO
Malnutrition (wght-for-age z<-2),ITA,2014,2.4,,,WHO
Malnutrition (wght-for-age z<-2),ARG,2011,18.7,,,WHO
Malnutrition (wght-for-age z<-2),CPV,2006,1.6,,,WHO
Malnutrition (wght-for-age z<-2),BLZ,2012,22.3,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2001,24.6,,,WHO
Malnutrition (wght-for-age z<-2),ECU,2018,23.6,,,WHO
Malnutrition (wght-for-age z<-2),EST,2015,0.0,,,WHO
Malnutrition (wght-for-age z<-2),BLZ,2012,5.8,,,WHO
Malnutrition (wght-for-age z<-2),MAR,2003,19.9,,,WHO
Malnutrition (wght-for-age z<-2),TLS,2012,26.6,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2018,29.6,,,WHO
Malnutrition (wght-for-age z<-2),FSM,2009,38.2,,,WHO
Malnutrition (wght-for-age z<-2),TJK,2016,34.6,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2006,27.7,,,WHO
Malnutrition (wght-for-age z<-2),MDG,2007,55.2,,,WHO
Malnutrition (wght-for-age z<-2),HTI,2001,64.1,,,WHO
Malnutrition (wght-for-age z<-2),VNM,2015,21.4,,,WHO
Malnutrition (wght-for-age z<-2),STP,2002,38.9,,,WHO
Malnutrition (wght-for-age z<-2),5,2014,20.9,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2005,22.2,,,WHO
Malnutrition (wght-for-age z<-2),SOM,2001,63.4,,,WHO
Malnutrition (wght-for-age z<-2),FRA,2006,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SLB,2013,26.1,,,WHO
Malnutrition (wght-for-age z<-2),GTM,2018,0.1,,,WHO
Malnutrition (wght-for-age z<-2),CHN,2011,18.6,,,WHO
Malnutrition (wght-for-age z<-2),EST,2007,19.3,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2018,6.3,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2011,19.6,,,WHO
Malnutrition (wght-for-age z<-2),TTO,2007,10.1,,,WHO
Malnutrition (wght-for-age z<-2),THA,2015,24.4,,,WHO
Malnutrition (wght-for-age z<-2),AMR,2007,20.9,,,WHO
Malnutrition (wght-for-age z<-2),RWA,2001,31.5,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2015,27.4,,,WHO
Malnutrition (wght-for-age z<-2),753,2019,23.4,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2006,2.1,,,WHO
Malnutrition (wght-for-age z<-2),CAN,2015,11.5,,,WHO
Malnutrition (wght-for-age z<-2),NER,2008,79.3,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2012,11.7,,,WHO
Malnutrition (wght-for-age z<-2),BRN,2019,20.0,,,WHO
Malnutrition (wght-for-age z<-2),URY,2004,7.4,,,WHO
Malnutrition (wght-for-age z<-2),HRV,2017,14.6,,,WHO
Malnutrition (wght-for-age z<-2),BGD,2007,1.0,,,WHO
Malnutrition (wght-for-age z<-2),LAO,2006,19.3,,,WHO
Malnutrition (wght-for-age z<-2),ARM,2007,25.5,,,WHO
Malnutrition (wght-for-age z<-2),GBR,2003,3.4,,,WHO
Malnutrition (wght-for-age z<-2),GEO,2000,15.8,,,WHO
Malnutrition (wght-for-age z<-2),CHN,2012,18.3,,,WHO
Malnutrition (wght-for-age z<-2),SWZ,2004,46.0,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2003,3.9,,,WHO
Malnutrition (wght-for-age z<-2),CMR,2001,70.0,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2018,0.9,,,WHO
Malnutrition (wght-for-age z<-2),AUS,2018,12.8,,,WHO
Malnutrition (wght-for-age z<-2),RWA,2013,37.8,,,WHO
Malnutrition (wght-for-age z<-2),BHR,2019,23.4,,,WHO
