risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),BTN,2005,3.3,,,WHO
Malnutrition (wght-for-age z<-2),9,2009,27.0,,,WHO
Malnutrition (wght-for-age z<-2),KEN,2002,20.3,,,WHO
Malnutrition (wght-for-age z<-2),FRA,2001,10.7,,,WHO
Malnutrition (wght-for-age z<-2),POL,2008,5.0,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2018,18.8,,,WHO
Malnutrition (wght-for-age z<-2),LBY,2010,8.8,,,WHO
Malnutrition (wght-for-age z<-2),EST,2007,19.3,,,WHO
Malnutrition (wght-for-age z<-2),GMB,2015,26.7,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2009,1.8,,,WHO
Malnutrition (wght-for-age z<-2),FJI,2017,39.9,,,WHO
Malnutrition (wght-for-age z<-2),LBR,2000,50.9,,,WHO
Malnutrition (wght-for-age z<-2),UZB,2011,0.4,,,WHO
Malnutrition (wght-for-age z<-2),199,2012,58.8,,,WHO
Malnutrition (wght-for-age z<-2),NAM,2016,46.7,,,WHO
Malnutrition (wght-for-age z<-2),YEM,2004,15.7,,,WHO
Malnutrition (wght-for-age z<-2),CAF,2002,9.6,,,WHO
Malnutrition (wght-for-age z<-2),BRN,2018,14.1,,,WHO
Malnutrition (wght-for-age z<-2),BGD,2015,25.6,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2008,31.1,,,WHO
Malnutrition (wght-for-age z<-2),STP,2001,69.4,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2019,9.5,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2005,17.0,,,WHO
Malnutrition (wght-for-age z<-2),MHL,2005,18.2,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2005,9.3,,,WHO
Malnutrition (wght-for-age z<-2),MEX,2002,29.4,,,WHO
Malnutrition (wght-for-age z<-2),SWE,2018,14.2,,,WHO
Malnutrition (wght-for-age z<-2),CMR,2014,62.6,,,WHO
Malnutrition (wght-for-age z<-2),ARG,2007,0.5,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2018,8.5,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2012,26.8,,,WHO
Malnutrition (wght-for-age z<-2),ARM,2007,10.4,,,WHO
Malnutrition (wght-for-age z<-2),BRB,2010,6.5,,,WHO
Malnutrition (wght-for-age z<-2),TTO,2005,0.4,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2011,1.3,,,WHO
Malnutrition (wght-for-age z<-2),PRT,2008,2.3,,,WHO
Malnutrition (wght-for-age z<-2),GEO,2019,24.6,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2012,4.8,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2005,25.9,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2010,10.4,,,WHO
Malnutrition (wght-for-age z<-2),30,2003,24.0,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2001,8.3,,,WHO
Malnutrition (wght-for-age z<-2),SYC,2008,0.3,,,WHO
Malnutrition (wght-for-age z<-2),TUR,2007,11.5,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2012,4.7,,,WHO
Malnutrition (wght-for-age z<-2),UGA,2010,23.2,,,WHO
Malnutrition (wght-for-age z<-2),KEN,2018,42.0,,,WHO
Malnutrition (wght-for-age z<-2),TUN,2017,29.8,,,WHO
Malnutrition (wght-for-age z<-2),THA,2003,7.5,,,WHO
Malnutrition (wght-for-age z<-2),2,1999,68.2,,,WHO
Malnutrition (wght-for-age z<-2),MOZ,2000,76.7,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2002,24.2,,,WHO
Malnutrition (wght-for-age z<-2),ZAF,2008,1.4,,,WHO
Malnutrition (wght-for-age z<-2),SSD,2001,22.6,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2006,8.3,,,WHO
Malnutrition (wght-for-age z<-2),BRN,2012,4.1,,,WHO
Malnutrition (wght-for-age z<-2),CZE,2007,3.7,,,WHO
Malnutrition (wght-for-age z<-2),NOR,2009,9.7,,,WHO
Malnutrition (wght-for-age z<-2),SEN,2001,82.6,,,WHO
Malnutrition (wght-for-age z<-2),USA,2005,0.0,,,WHO
Malnutrition (wght-for-age z<-2),ETH,2004,4.9,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2008,35.5,,,WHO
Malnutrition (wght-for-age z<-2),ISR,2000,10.6,,,WHO
Malnutrition (wght-for-age z<-2),35,2018,31.0,,,WHO
Malnutrition (wght-for-age z<-2),BRN,2009,16.9,,,WHO
Malnutrition (wght-for-age z<-2),ARE,2010,0.1,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2009,26.8,,,WHO
Malnutrition (wght-for-age z<-2),NZL,2014,13.4,,,WHO
Malnutrition (wght-for-age z<-2),BFA,2012,85.6,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2013,17.9,,,WHO
Malnutrition (wght-for-age z<-2),VNM,2002,30.8,,,WHO
Malnutrition (wght-for-age z<-2),GEO,2005,30.7,,,WHO
Malnutrition (wght-for-age z<-2),OMN,2010,30.5,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2008,0.1,,,WHO
Malnutrition (wght-for-age z<-2),MHL,2012,0.9,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2006,26.6,,,WHO
Malnutrition (wght-for-age z<-2),KWT,2005,17.9,,,WHO
Malnutrition (wght-for-age z<-2),AUS,2001,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2001,62.0,,,WHO
Malnutrition (wght-for-age z<-2),CYP,2014,13.2,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2011,36.9,,,WHO
Malnutrition (wght-for-age z<-2),ROU,2003,20.5,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2002,12.0,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2014,22.1,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2002,24.9,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2011,22.1,,,WHO
Malnutrition (wght-for-age z<-2),BLR,2019,4.0,,,WHO
Malnutrition (wght-for-age z<-2),CIV,2011,74.3,,,WHO
Malnutrition (wght-for-age z<-2),TJK,2011,11.3,,,WHO
Malnutrition (wght-for-age z<-2),MDV,2013,34.4,,,WHO
Malnutrition (wght-for-age z<-2),BHS,2019,12.6,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2017,0.7,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2002,13.5,,,WHO
Malnutrition (wght-for-age z<-2),PRK,2018,0.3,,,WHO
Malnutrition (wght-for-age z<-2),TUN,2002,33.6,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2017,23.6,,,WHO
Malnutrition (wght-for-age z<-2),ISL,2010,1.4,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2019,48.8,,,WHO
Malnutrition (wght-for-age z<-2),MRT,2016,3.4,,,WHO
Malnutrition (wght-for-age z<-2),PER,2003,24.3,,,WHO
Malnutrition (wght-for-age z<-2),TCD,2002,78.6,,,WHO
Malnutrition (wght-for-age z<-2),CRI,2003,19.7,,,WHO
Malnutrition (wght-for-age z<-2),CMR,2003,68.6,,,WHO
Malnutrition (wght-for-age z<-2),NAM,2004,48.7,,,WHO
Malnutrition (wght-for-age z<-2),COD,2011,68.8,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2015,26.7,,,WHO
Malnutrition (wght-for-age z<-2),HUN,2010,18.3,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2004,17.9,,,WHO
Malnutrition (wght-for-age z<-2),GUY,2009,0.4,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2008,37.9,,,WHO
Malnutrition (wght-for-age z<-2),LBR,2010,71.3,,,WHO
Malnutrition (wght-for-age z<-2),TUV,2005,51.1,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2018,49.6,,,WHO
Malnutrition (wght-for-age z<-2),GMB,2011,70.1,,,WHO
Malnutrition (wght-for-age z<-2),ITA,2009,0.1,,,WHO
Malnutrition (wght-for-age z<-2),ESP,2008,2.4,,,WHO
Malnutrition (wght-for-age z<-2),GNQ,2001,47.4,,,WHO
Malnutrition (wght-for-age z<-2),TCD,2010,23.9,,,WHO
Malnutrition (wght-for-age z<-2),KHM,2008,57.2,,,WHO
Malnutrition (wght-for-age z<-2),TGO,2017,4.0,,,WHO
Malnutrition (wght-for-age z<-2),WSM,2015,36.2,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2010,1.8,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2003,48.8,,,WHO
Malnutrition (wght-for-age z<-2),SWE,2019,14.6,,,WHO
Malnutrition (wght-for-age z<-2),NIU,2008,15.7,,,WHO
Malnutrition (wght-for-age z<-2),TLS,2011,45.0,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2003,69.5,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2009,23.9,,,WHO
Malnutrition (wght-for-age z<-2),UGA,2015,2.2,,,WHO
Malnutrition (wght-for-age z<-2),COK,2019,27.0,,,WHO
Malnutrition (wght-for-age z<-2),NLD,2018,15.1,,,WHO
Malnutrition (wght-for-age z<-2),TUV,2006,26.6,,,WHO
Malnutrition (wght-for-age z<-2),GRD,2000,24.5,,,WHO
Malnutrition (wght-for-age z<-2),MNE,2004,14.2,,,WHO
Malnutrition (wght-for-age z<-2),MHL,2004,42.0,,,WHO
Malnutrition (wght-for-age z<-2),TTO,2012,25.5,,,WHO
Malnutrition (wght-for-age z<-2),DNK,2012,13.0,,,WHO
Malnutrition (wght-for-age z<-2),URY,2001,15.1,,,WHO
Malnutrition (wght-for-age z<-2),LAO,2006,25.2,,,WHO
Malnutrition (wght-for-age z<-2),COK,2001,30.1,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2009,16.1,,,WHO
Malnutrition (wght-for-age z<-2),SLE,2019,3.8,,,WHO
Malnutrition (wght-for-age z<-2),VUT,2013,10.3,,,WHO
Malnutrition (wght-for-age z<-2),IRN,2013,28.3,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2018,0.1,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2016,10.6,,,WHO
Malnutrition (wght-for-age z<-2),ZAF,2018,42.9,,,WHO
Malnutrition (wght-for-age z<-2),THA,2005,17.8,,,WHO
Malnutrition (wght-for-age z<-2),SOM,2013,30.6,,,WHO
Malnutrition (wght-for-age z<-2),YEM,2017,79.8,,,WHO
Malnutrition (wght-for-age z<-2),432,2016,51.6,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2019,0.8,,,WHO
Malnutrition (wght-for-age z<-2),TON,2003,32.3,,,WHO
Malnutrition (wght-for-age z<-2),MWI,2009,65.9,,,WHO
Malnutrition (wght-for-age z<-2),SLB,2014,0.5,,,WHO
Malnutrition (wght-for-age z<-2),LKA,2002,31.1,,,WHO
Malnutrition (wght-for-age z<-2),KWT,2001,13.6,,,WHO
Malnutrition (wght-for-age z<-2),TKM,2019,33.1,,,WHO
Malnutrition (wght-for-age z<-2),CAN,2010,1.7,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2000,25.1,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2005,37.8,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2017,8.8,,,WHO
Malnutrition (wght-for-age z<-2),HND,2005,13.0,,,WHO
Malnutrition (wght-for-age z<-2),PRY,2013,10.4,,,WHO
Malnutrition (wght-for-age z<-2),PHL,2013,17.1,,,WHO
Malnutrition (wght-for-age z<-2),MAR,2007,19.8,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2008,49.9,,,WHO
Malnutrition (wght-for-age z<-2),14,2013,52.5,,,WHO
Malnutrition (wght-for-age z<-2),DOM,2009,30.2,,,WHO
Malnutrition (wght-for-age z<-2),SWZ,2003,1.6,,,WHO
Malnutrition (wght-for-age z<-2),KWT,2008,4.9,,,WHO
Malnutrition (wght-for-age z<-2),TJK,2001,19.2,,,WHO
Malnutrition (wght-for-age z<-2),CUB,2010,22.5,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2008,0.2,,,WHO
Malnutrition (wght-for-age z<-2),EUR,2015,19.7,,,WHO
Malnutrition (wght-for-age z<-2),TUN,2007,31.1,,,WHO
Malnutrition (wght-for-age z<-2),NER,2004,52.1,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2005,13.3,,,WHO
Malnutrition (wght-for-age z<-2),BEL,2011,14.9,,,WHO
Malnutrition (wght-for-age z<-2),ISL,2002,9.7,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2014,33.6,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2007,20.6,,,WHO
Malnutrition (wght-for-age z<-2),MAR,2006,13.2,,,WHO
Malnutrition (wght-for-age z<-2),SVN,2017,3.5,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2003,0.5,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2000,33.1,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2002,21.3,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2016,26.4,,,WHO
Malnutrition (wght-for-age z<-2),MOZ,2016,66.1,,,WHO
Malnutrition (wght-for-age z<-2),14,2017,52.3,,,WHO
Malnutrition (wght-for-age z<-2),WSM,2019,0.7,,,WHO
Malnutrition (wght-for-age z<-2),FJI,2008,40.5,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2015,17.9,,,WHO
Malnutrition (wght-for-age z<-2),WB_LMI,2015,51.6,,,WHO
Malnutrition (wght-for-age z<-2),BGD,2010,19.4,,,WHO
Malnutrition (wght-for-age z<-2),NER,2003,9.3,,,WHO
Malnutrition (wght-for-age z<-2),AZE,2003,40.3,,,WHO
Malnutrition (wght-for-age z<-2),HRV,2006,14.0,,,WHO
Malnutrition (wght-for-age z<-2),BDI,2016,26.7,,,WHO
Malnutrition (wght-for-age z<-2),PER,2005,18.7,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2008,25.1,,,WHO
Malnutrition (wght-for-age z<-2),ETH,2005,21.7,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2013,1.5,,,WHO
Malnutrition (wght-for-age z<-2),PNG,2008,23.5,,,WHO
Malnutrition (wght-for-age z<-2),MNG,2002,15.9,,,WHO
Malnutrition (wght-for-age z<-2),BOL,2004,2.3,,,WHO
Malnutrition (wght-for-age z<-2),DMA,2007,0.4,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2004,25.0,,,WHO
Malnutrition (wght-for-age z<-2),PAK,2013,57.5,,,WHO
Malnutrition (wght-for-age z<-2),SLB,2005,45.9,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2019,29.4,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2000,33.4,,,WHO
Malnutrition (wght-for-age z<-2),MDG,2017,25.1,,,WHO
Malnutrition (wght-for-age z<-2),ISR,2016,2.4,,,WHO
Malnutrition (wght-for-age z<-2),KEN,2001,54.6,,,WHO
Malnutrition (wght-for-age z<-2),GBR,2010,0.2,,,WHO
Malnutrition (wght-for-age z<-2),TTO,2018,23.0,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2016,24.7,,,WHO
Malnutrition (wght-for-age z<-2),CZE,2018,14.2,,,WHO
Malnutrition (wght-for-age z<-2),BWA,2014,23.2,,,WHO
Malnutrition (wght-for-age z<-2),62,2009,56.4,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2010,73.2,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2019,16.7,,,WHO
Malnutrition (wght-for-age z<-2),BRB,2012,21.5,,,WHO
Malnutrition (wght-for-age z<-2),GUY,2013,0.3,,,WHO
Malnutrition (wght-for-age z<-2),PAN,2007,28.4,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2015,22.4,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2005,0.4,,,WHO
Malnutrition (wght-for-age z<-2),AUT,2017,13.8,,,WHO
Malnutrition (wght-for-age z<-2),PRK,2019,21.5,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2017,24.6,,,WHO
Malnutrition (wght-for-age z<-2),JOR,2002,18.4,,,WHO
Malnutrition (wght-for-age z<-2),COG,2001,72.0,,,WHO
Malnutrition (wght-for-age z<-2),BOL,2010,52.5,,,WHO
Malnutrition (wght-for-age z<-2),IRL,2015,2.3,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2001,11.7,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2019,27.2,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2006,24.7,,,WHO
Malnutrition (wght-for-age z<-2),KNA,2018,14.0,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2013,18.6,,,WHO
Malnutrition (wght-for-age z<-2),AND,2007,12.5,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2001,26.2,,,WHO
Malnutrition (wght-for-age z<-2),TUN,2007,10.8,,,WHO
Malnutrition (wght-for-age z<-2),POL,2003,0.2,,,WHO
Malnutrition (wght-for-age z<-2),722,2016,40.7,,,WHO
Malnutrition (wght-for-age z<-2),WPR,2001,27.5,,,WHO
Malnutrition (wght-for-age z<-2),LVA,2018,19.2,,,WHO
Malnutrition (wght-for-age z<-2),GIN,2013,76.1,,,WHO
Malnutrition (wght-for-age z<-2),IND,2000,40.6,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2012,25.4,,,WHO
Malnutrition (wght-for-age z<-2),TCD,2009,45.4,,,WHO
Malnutrition (wght-for-age z<-2),GHA,2009,71.7,,,WHO
Malnutrition (wght-for-age z<-2),SYC,2017,29.6,,,WHO
Malnutrition (wght-for-age z<-2),EGY,2012,23.8,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2009,5.5,,,WHO
Malnutrition (wght-for-age z<-2),UZB,2009,0.5,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2005,1.8,,,WHO
Malnutrition (wght-for-age z<-2),HTI,2012,1.3,,,WHO
Malnutrition (wght-for-age z<-2),BDI,2001,5.1,,,WHO
Malnutrition (wght-for-age z<-2),AUT,2018,11.5,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2008,7.0,,,WHO
Malnutrition (wght-for-age z<-2),NER,2013,76.0,,,WHO
Malnutrition (wght-for-age z<-2),SYR,2001,11.8,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2001,4.6,,,WHO
Malnutrition (wght-for-age z<-2),BGD,2011,0.7,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2000,43.9,,,WHO
Malnutrition (wght-for-age z<-2),PAN,2014,0.2,,,WHO
Malnutrition (wght-for-age z<-2),PRY,2017,9.5,,,WHO
Malnutrition (wght-for-age z<-2),PRT,2012,10.3,,,WHO
Malnutrition (wght-for-age z<-2),JAM,2018,6.8,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2013,49.3,,,WHO
Malnutrition (wght-for-age z<-2),CHE,2008,9.0,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2004,77.3,,,WHO
Malnutrition (wght-for-age z<-2),NGA,2016,70.9,,,WHO
Malnutrition (wght-for-age z<-2),GAB,2003,67.0,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2015,10.7,,,WHO
Malnutrition (wght-for-age z<-2),THA,2007,24.9,,,WHO
Malnutrition (wght-for-age z<-2),13,2007,27.2,,,WHO
Malnutrition (wght-for-age z<-2),ESP,2011,2.3,,,WHO
Malnutrition (wght-for-age z<-2),SDN,2012,52.2,,,WHO
Malnutrition (wght-for-age z<-2),MLT,2015,12.3,,,WHO
Malnutrition (wght-for-age z<-2),ZWE,2008,26.0,,,WHO
Malnutrition (wght-for-age z<-2),IRN,2012,0.2,,,WHO
Malnutrition (wght-for-age z<-2),FRA,2016,13.1,,,WHO
Malnutrition (wght-for-age z<-2),NLD,2008,10.0,,,WHO
Malnutrition (wght-for-age z<-2),EUR,2008,20.9,,,WHO
Malnutrition (wght-for-age z<-2),CAN,2019,2.5,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2005,0.3,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2012,0.0,,,WHO
Malnutrition (wght-for-age z<-2),ARE,2017,19.6,,,WHO
Malnutrition (wght-for-age z<-2),TKM,2018,0.6,,,WHO
Malnutrition (wght-for-age z<-2),USA,2011,0.6,,,WHO
Malnutrition (wght-for-age z<-2),CHE,2010,2.0,,,WHO
Malnutrition (wght-for-age z<-2),NZL,2015,11.0,,,WHO
Malnutrition (wght-for-age z<-2),NLD,2002,9.4,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2006,2.1,,,WHO
Malnutrition (wght-for-age z<-2),MOZ,2010,3.6,,,WHO
Malnutrition (wght-for-age z<-2),KEN,2001,30.0,,,WHO
Malnutrition (wght-for-age z<-2),EUR,2001,0.5,,,WHO
Malnutrition (wght-for-age z<-2),SDN,2005,2.7,,,WHO
Malnutrition (wght-for-age z<-2),COL,2001,19.5,,,WHO
Malnutrition (wght-for-age z<-2),BDI,2010,25.3,,,WHO
Malnutrition (wght-for-age z<-2),AUT,2012,0.0,,,WHO
Malnutrition (wght-for-age z<-2),KIR,2004,52.1,,,WHO
Malnutrition (wght-for-age z<-2),TLS,2003,47.7,,,WHO
Malnutrition (wght-for-age z<-2),GAB,2013,32.4,,,WHO
Malnutrition (wght-for-age z<-2),SVN,2003,17.7,,,WHO
Malnutrition (wght-for-age z<-2),KEN,2018,22.0,,,WHO
Malnutrition (wght-for-age z<-2),EST,2005,20.3,,,WHO
Malnutrition (wght-for-age z<-2),BHS,2008,19.6,,,WHO
Malnutrition (wght-for-age z<-2),CPV,2015,47.6,,,WHO
Malnutrition (wght-for-age z<-2),DOM,2008,11.2,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2018,42.3,,,WHO
Malnutrition (wght-for-age z<-2),HUN,2014,13.7,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2017,16.2,,,WHO
Malnutrition (wght-for-age z<-2),34,2015,52.8,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2018,39.0,,,WHO
Malnutrition (wght-for-age z<-2),151,2018,21.8,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2011,47.0,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2017,1.0,,,WHO
Malnutrition (wght-for-age z<-2),HND,2007,12.6,,,WHO
Malnutrition (wght-for-age z<-2),VCT,2013,22.3,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2016,22.0,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2004,0.4,,,WHO
Malnutrition (wght-for-age z<-2),IDN,2010,12.3,,,WHO
Malnutrition (wght-for-age z<-2),MDV,2002,16.6,,,WHO
Malnutrition (wght-for-age z<-2),747,2002,41.1,,,WHO
Malnutrition (wght-for-age z<-2),AND,2012,10.3,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2010,7.3,,,WHO
Malnutrition (wght-for-age z<-2),NGA,2015,41.2,,,WHO
Malnutrition (wght-for-age z<-2),MNG,2004,27.7,,,WHO
Malnutrition (wght-for-age z<-2),SSD,2005,64.6,,,WHO
Malnutrition (wght-for-age z<-2),AFR,2005,5.1,,,WHO
Malnutrition (wght-for-age z<-2),NGA,2010,72.6,,,WHO
Malnutrition (wght-for-age z<-2),62,2001,63.8,,,WHO
Malnutrition (wght-for-age z<-2),PSE,2007,0.3,,,WHO
Malnutrition (wght-for-age z<-2),IND,2015,55.7,,,WHO
Malnutrition (wght-for-age z<-2),COG,2011,1.6,,,WHO
Malnutrition (wght-for-age z<-2),GEO,2017,23.9,,,WHO
Malnutrition (wght-for-age z<-2),CMR,2003,40.1,,,WHO
Malnutrition (wght-for-age z<-2),ZAF,2004,19.4,,,WHO
Malnutrition (wght-for-age z<-2),CAN,2007,8.5,,,WHO
Malnutrition (wght-for-age z<-2),PRT,2006,10.0,,,WHO
Malnutrition (wght-for-age z<-2),ALB,2004,18.0,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2000,72.1,,,WHO
Malnutrition (wght-for-age z<-2),DZA,2019,0.4,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2011,1.8,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2009,0.2,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2015,13.1,,,WHO
Malnutrition (wght-for-age z<-2),ECU,2007,28.5,,,WHO
Malnutrition (wght-for-age z<-2),BHR,2009,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SRB,2018,4.7,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2003,26.5,,,WHO
Malnutrition (wght-for-age z<-2),CPV,2007,1.5,,,WHO
Malnutrition (wght-for-age z<-2),ISL,2008,0.0,,,WHO
Malnutrition (wght-for-age z<-2),DNK,2010,0.0,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2017,54.6,,,WHO
Malnutrition (wght-for-age z<-2),PER,2010,24.1,,,WHO
Malnutrition (wght-for-age z<-2),CYP,2003,10.2,,,WHO
Malnutrition (wght-for-age z<-2),FJI,2004,22.8,,,WHO
Malnutrition (wght-for-age z<-2),EGY,2009,14.0,,,WHO
Malnutrition (wght-for-age z<-2),SRB,2017,18.7,,,WHO
Malnutrition (wght-for-age z<-2),TGO,2018,42.3,,,WHO
Malnutrition (wght-for-age z<-2),GTM,2000,32.7,,,WHO
Malnutrition (wght-for-age z<-2),SSD,2012,58.4,,,WHO
Malnutrition (wght-for-age z<-2),CZE,2013,16.6,,,WHO
Malnutrition (wght-for-age z<-2),MKD,2000,0.6,,,WHO
Malnutrition (wght-for-age z<-2),ZWE,2006,0.9,,,WHO
Malnutrition (wght-for-age z<-2),SWZ,2013,0.8,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2000,20.1,,,WHO
Malnutrition (wght-for-age z<-2),ARE,2016,19.4,,,WHO
Malnutrition (wght-for-age z<-2),LSO,2003,22.8,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2014,22.5,,,WHO
Malnutrition (wght-for-age z<-2),FJI,2013,0.4,,,WHO
Malnutrition (wght-for-age z<-2),DJI,2000,61.5,,,WHO
Malnutrition (wght-for-age z<-2),JOR,2001,32.0,,,WHO
Malnutrition (wght-for-age z<-2),PAN,2016,13.4,,,WHO
Malnutrition (wght-for-age z<-2),SLE,2004,7.1,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2001,9.7,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2000,5.4,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2007,28.8,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2018,11.8,,,WHO
Malnutrition (wght-for-age z<-2),BEL,2016,16.4,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2018,17.3,,,WHO
Malnutrition (wght-for-age z<-2),LBR,2012,27.3,,,WHO
Malnutrition (wght-for-age z<-2),TUV,2013,47.4,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2018,40.9,,,WHO
Malnutrition (wght-for-age z<-2),5,2000,29.0,,,WHO
Malnutrition (wght-for-age z<-2),THA,2012,24.3,,,WHO
Malnutrition (wght-for-age z<-2),722,2012,41.6,,,WHO
Malnutrition (wght-for-age z<-2),SYC,2002,9.0,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2014,18.6,,,WHO
Malnutrition (wght-for-age z<-2),PRT,2003,10.1,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2012,31.2,,,WHO
Malnutrition (wght-for-age z<-2),155,2017,14.0,,,WHO
Malnutrition (wght-for-age z<-2),SDN,2018,23.7,,,WHO
Malnutrition (wght-for-age z<-2),THA,2018,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SMR,2008,9.4,,,WHO
Malnutrition (wght-for-age z<-2),URY,2002,0.5,,,WHO
Malnutrition (wght-for-age z<-2),747,2004,40.4,,,WHO
