Country,Sub_Region,Population_0_14,Child Mortality Rate (U5MR),Exclusive breastfeeding under 6 months (%),Low birth weight (=<2500 g),Malnutrition (wght-for-age z<-2),Use solid fuels (yes),Wasting prevalence among children under 5 years
Estonia,ECA - Low Child Mortality,214545.943615284,2.1,,4.173697894,0.4,2.91,1.6852272727272728
Eswatini,SSA - Medium Child Mortality,414509.16676127724,45.0,63.82,10.20161162,5.0,2.99,1.7876190476190474
Ethiopia,SSA - Medium Child Mortality,51582433.80470042,46.5,58.81,,21.2,3.15,6.5873684210526315
Fiji,EAP - High Child Mortality,251637.9999999996,29.1,39.8,7.401885145,4.6,,4.6058252427184465
Finland,ECA - Low Child Mortality,824904.0161979675,2.3,,4.069185571,,35.31,1.6
France,ECA - Medium Child Mortality,11308764.092919156,4.3,,7.428983167,,46.73,
Gabon,SSA - Low Child Mortality,926325.182422744,33.2,5.08,14.64981828,5.4,2.57,3.4473684210526314
Gambia,SSA,1110839.7012399498,44.1,53.63,13.24914954,11.6,,5.228421052631579
Georgia,ECA - High Child Mortality,764115.5868877808,9.2,20.38,7.420559377,2.1,16.65,0.5959595959595959
Germany,ECA - Medium Child Mortality,11616507.112370502,3.7,,6.714126163,0.6,9.03,0.5
Ghana,SSA - Low Child Mortality,12331256.179090668,37.1,42.9,14.41585206,12.0,6.03,5.881052631578948
Gibraltar,,6940.500000000011,,,,,0.0,
Greece,ECA - Medium Child Mortality,1373338.6658593896,3.7,,11.40590068,0.5,12.29,1.5
Grenada,LAC - Medium Child Mortality,22786.40279418977,18.3,,,,,
Guatemala,LAC - High Child Mortality,5812199.499999992,21.4,53.24,14.49437989,14.4,5.26,0.82
Guinea,SSA - High Child Mortality,6034877.795494211,95.0,33.43,,15.0,,6.1866666666666665
Guinea-Bissau,SSA - Medium Child Mortality,853814.5000000012,69.3,59.35,19.54887142,18.8,,7.914666666666667
Guyana,LAC - High Child Mortality,242349.64580281373,25.7,21.1,17.16307383,9.4,,6.489523809523809
Haiti,LAC - High Child Mortality,3671700.4999999935,55.1,39.88,,10.7,0.37,5.385333333333333
Honduras,LAC - Medium Child Mortality,3314960.84689397,15.5,30.75,13.09450185,7.1,12.87,1.8866666666666667
Hong Kong,,790619.0435028232,,,,,0.14,
Hungary,ECA - Medium Child Mortality,1377105.2760849947,3.8,,8.316534957,,21.27,
Iceland,ECA - Low Child Mortality,71872.57888054123,2.6,,3.992822369,,89.33,
India,SA - Medium Child Mortality,357277017.50000066,27.7,58.0,27.43525934,31.5,4.38,18.67157894736842
Indonesia,EAP - Medium Child Mortality,69731785.6229889,20.6,50.67,9.934186169,15.9,11.97,8.38
Iran,MENA,20548324.112202823,11.8,53.1,,4.3,1.14,4.257894736842105
Iraq,MENA - High Child Mortality,16842789.99999998,22.6,25.82,10.8613574,3.9,0.37,3.010752688172043
Ireland,ECA - Medium Child Mortality,998332.7970188506,3.8,,5.645686692,0.5,8.64,0.38333333333333336
Israel,MENA - Low Child Mortality,2733909.237786937,3.4,,8.983944543,,5.41,
Italy,ECA - Low Child Mortality,7014797.524585252,2.8,,7.21055095,,9.84,
Jamaica,LAC - High Child Mortality,530993.5000000002,19.3,23.78,13.68120587,2.5,1.63,3.268421052631579
Japan,EAP - Low Child Mortality,14177949.384684,2.4,,11.30468889,3.4,10.79,2.3433333333333333
Jordan,MENA - Medium Child Mortality,3543086.4999999953,13.2,25.4,18.93666383,2.5,7.69,2.248421052631579
Kazakhstan,ECA - High Child Mortality,6048713.500000009,9.6,37.77,5.291126034,2.0,1.62,3.042391304347826
Kenya,SSA - Medium Child Mortality,20787671.81581972,39.9,61.39,9.971119457,9.8,18.71,4.570526315789474
Kiribati,EAP - High Child Mortality,46669.5,55.1,63.59,9.031391662,6.9,,3.399009900990099
Kosovo,ECA - High Child Mortality,316321.4837552453,9.1,,,,0.519176378508478,
Kuwait,MENA - Medium Child Mortality,906178.2390276028,8.8,,14.36604616,2.8,0.08,3.5472972972972974
Kyrgyz Republic,ECA - High Child Mortality,2336552.9597089305,17.0,45.56,6.037714249,2.9,22.8,3.0166666666666666
Laos,EAP,2346361.500000001,39.0,44.38,16.73231578,24.3,54.17,10.796153846153846
Latvia,ECA - Low Child Mortality,287063.4495995042,3.0,,4.232556976,0.3,8.33,1.675
Lebanon,MENA - Medium Child Mortality,1520374.6309321919,18.3,,12.59960101,5.1,6.6,1.391304347826087
Lesotho,SSA - Medium Child Mortality,806861.6725964171,58.9,59.01,14.44742354,12.5,,1.6723404255319148
Liberia,SSA - Medium Child Mortality,2218723.500000002,72.9,55.23,19.8812653,10.9,,3.4336842105263155
Libya,MENA - High Child Mortality,2023317.5000000026,30.8,,,4.3,0.0,3.4916666666666667
Lithuania,ECA - Medium Child Mortality,424716.71871958784,3.4,,4.397884914,1.1,4.7,4.891666666666667
Luxembourg,ECA - Low Child Mortality,106925.0325695804,2.3,,7.74989029,,2.58,
Madagascar,SSA - Medium Child Mortality,12548437.000000011,64.8,50.62,18.71212047,22.6,0.8,7.165263157894738
Malawi,SSA - Low Child Mortality,8814904.000000004,38.3,59.44,15.57640226,12.8,,2.537142857142857
Malaysia,EAP - Low Child Mortality,7746734.391068032,8.1,40.3,13.81137628,15.3,2.88,10.934999999999999
Maldives,SA - Low Child Mortality,103406.50000000001,5.7,63.03,13.71833802,14.8,,8.898947368421052
Mali,SSA - High Child Mortality,11294982.269288588,91.3,40.46,,15.0,,5.4
Malta,MENA - Low Child Mortality,74840.16603009249,5.5,,7.184098646,0.7,3.63,0.38333333333333336
Marshall Islands,EAP - High Child Mortality,12944.500000000018,28.2,43.12,,11.9,,3.529787234042553
Mauritania,SSA - Low Child Mortality,2207911.2864439352,37.8,40.3,,22.4,,13.475
Mauritius,SSA - Low Child Mortality,186544.05428310463,15.2,,18.69435005,13.0,1.85,15.7
Mexico,LAC - Medium Child Mortality,32073369.00000003,12.5,27.14,10.15384708,4.2,6.69,0.9961038961038962
"Micronesia, Fed. Sts.",,36039.340759363964,23.1,,,,,
Moldova,ECA - High Child Mortality,472807.0693177051,14.7,36.37,6.470493286,2.2,1.15,1.873913043478261
Monaco,,5204.500000000012,2.7,,6.824647135,,,
Mongolia,EAP - Medium Child Mortality,1134745.5561173223,13.6,58.0,4.896474513,1.9,1.01,2.6999999999999997
Montenegro,ECA - Low Child Mortality,113080.87056337872,2.6,19.52,6.231987721,3.7,14.61,2.2699029126213595
Morocco,MENA - Medium Child Mortality,9761312.000000013,16.6,35.0,14.76651824,3.0,3.74,2.3833333333333333
Mozambique,SSA - Medium Child Mortality,15403893.999999993,61.7,41.0,17.76020276,15.4,11.93,3.64
Myanmar,EAP - High Child Mortality,13243810.999999978,38.7,51.24,12.48430117,19.5,3.7,7.216666666666668
Namibia,SSA - Medium Child Mortality,1120534.5000000012,40.7,48.32,15.58151943,13.2,5.88,7.17157894736842
Nauru,EAP - Medium Child Mortality,4513.188883773489,8.9,67.2,,3.8,,1.3173333333333332
Nepal,SA - Medium Child Mortality,8429548.357854145,26.5,62.14,19.73151245,18.3,6.78,7.081052631578948
Netherlands,ECA - Medium Child Mortality,2703750.186137745,4.0,,5.651838859,1.0,9.05,1.016
New Zealand,EAP - Low Child Mortality,967265.395207543,4.7,,5.857246489,,38.71,
Nicaragua,LAC - Medium Child Mortality,1989004.1437943787,13.4,31.7,10.09621863,4.6,17.03,2.0999999999999996
Niger,SSA - High Child Mortality,12597379.266994912,114.8,21.61,,34.6,0.05,10.958666666666666
